,sent_a,sent_b,label
1186,There weren't few drawings of Diana worrying Jerry.,There weren't most drawings of Diana worrying Jerry.,0.0
1187,There isn't every popsicle condensing.,There isn't a popsicle condensing.,1.0
1188,There was every glass appearing.,There was a glass appearing.,1.0
1189,There weren't many books existing.,There weren't all books existing.,0.0
1190,There aren't all mirrors dropping.,There aren't many mirrors dropping.,1.0
1191,There isn't a university learning who work hard.,There isn't every university learning who work hard.,0.0
1192,There is a newspaper article existing.,There is each newspaper article existing.,0.0
1193,There was a print of a rabbit upsetting Brad.,There was every print of a rabbit upsetting Brad.,0.0
1194,There is a child examining some play.,There is each child examining some play.,0.0
1195,There is each nose stunning Martin.,There is a nose stunning Martin.,1.0
1196,There are many planes boring Diane.,There are all planes boring Diane.,0.0
1197,There were all reports falling.,There were no reports falling.,1.0
1198,There aren't many windows boring Walter.,There aren't most windows boring Walter.,0.0
1199,There isn't a cashier advising Monica's nephews to argue.,There isn't each cashier advising Monica's nephews to argue.,0.0
1200,Who have those men revealed they helped?,Who have those men revealed who helped?,0.0
1201,Who isn't Craig realizing who kisses?,Who isn't Craig realizing he kisses?,1.0
1202,Who are those associations discovering who saw?,Who are those associations discovering they saw?,1.0
1203,What wasn't Nicole discovering she climbed down?,What wasn't Nicole discovering who climbed down?,0.0
1204,What could Alan discover he has run around?,What could Alan discover who has run around?,0.0
1205,Who shouldn't Andrew find out he was embarrassing?,Who shouldn't Andrew find out what was embarrassing?,0.0
1206,What was this woman revealing she would examine?,What was this woman revealing who would examine?,0.0
1207,What didn't Edward conceal who hasn't noticed?,What didn't Edward conceal he hasn't noticed?,1.0
1208,Who hadn't Tanya known she hadn't visited?,Who hadn't Tanya known who hadn't visited?,0.0
1209,Who wasn't Teresa forgetting she sees?,Who wasn't Teresa forgetting who sees?,0.0
1210,Who can't Douglas realize who had investigated?,Who can't Douglas realize he had investigated?,1.0
1211,What had the museums learned they weren't skated around?,What had the museums learned who weren't skated around?,0.0
1212,Who haven't these associations discovered what could annoy?,Who haven't these associations discovered they could annoy?,1.0
1213,Who can't some universities forget they aggravated?,Who can't some universities forget what aggravated?,0.0
1214,What shouldn't these guys remember they are climbing down?,What shouldn't these guys remember what are climbing down?,0.0
1215,Who shouldn't Janet know who doesn't reveal?,Who shouldn't Janet know she doesn't reveal?,1.0
1216,What is Connie remembering she can't see?,What is Connie remembering who can't see?,0.0
1217,What was this actor figuring out who is scanning?,What was this actor figuring out she is scanning?,1.0
1218,What isn't Dawn revealing she couldn't complain about?,What isn't Dawn revealing who couldn't complain about?,0.0
1219,Who couldn't Helen conceal she shouldn't leave?,Who couldn't Helen conceal who shouldn't leave?,0.0
1220,What hadn't Pamela investigated she admired?,What hadn't Pamela investigated who admired?,0.0
1221,Who wasn't Margaret figuring out who questioned?,Who wasn't Margaret figuring out she questioned?,1.0
1222,Who would that senator realize she was listening to?,Who would that senator realize who was listening to?,0.0
1223,Who should Rhonda find out who hugs?,Who should Rhonda find out she hugs?,1.0
1224,What isn't Keith remembering he hasn't cleaned?,What isn't Keith remembering who hasn't cleaned?,0.0
1225,Who hasn't Ann known she works with?,Who hasn't Ann known who works with?,0.0
1226,What was Candice finding out she will mess up?,What was Candice finding out who will mess up?,0.0
1227,What was Linda concealing she hadn't fixed?,What was Linda concealing who hadn't fixed?,0.0
1228,Who were the boys revealing who wouldn't impress?,Who were the boys revealing they wouldn't impress?,1.0
1229,Who hasn't Emily known she won't forget?,Who hasn't Emily known who won't forget?,0.0
1230,What could Amelia figure out who has left?,What could Amelia figure out she has left?,1.0
1231,Who won't Barbara investigate she had stunned?,Who won't Barbara investigate what had stunned?,0.0
1232,Who wouldn't Randolf learn who revealed?,Who wouldn't Randolf learn he revealed?,1.0
1233,Who does Chad remember who did talk to?,Who does Chad remember he did talk to?,1.0
1234,Who hadn't Deborah revealed what can scare?,Who hadn't Deborah revealed she can scare?,1.0
1235,What hadn't Victoria learned she runs around?,What hadn't Victoria learned who runs around?,0.0
1236,Who is Caroline learning who should cure?,Who is Caroline learning she should cure?,1.0
1237,What hasn't Eric discovered who is bringing?,What hasn't Eric discovered he is bringing?,1.0
1238,What hasn't Carlos concealed he buys?,What hasn't Carlos concealed who buys?,0.0
1239,What would Allison know she didn't drop by?,What would Allison know who didn't drop by?,0.0
1240,Who hasn't Kristin learned who can care for?,Who hasn't Kristin learned she can care for?,1.0
1241,Who had Eric found out he astounded?,Who had Eric found out who astounded?,0.0
1242,What have a lot of cashiers concealed they found?,What have a lot of cashiers concealed who found?,0.0
1243,What does Regina figure out she wasn't breaking?,What does Regina figure out who wasn't breaking?,0.0
1244,What did Gregory investigate who couldn't walk through?,What did Gregory investigate he couldn't walk through?,1.0
1245,What can't Diane find out who isn't wearing?,What can't Diane find out she isn't wearing?,1.0
1246,What has Florence revealed she drops by?,What has Florence revealed who drops by?,0.0
1247,What wasn't a teacher finding out who climbs down?,What wasn't a teacher finding out she climbs down?,1.0
1248,Who doesn't Sarah learn who was attacking?,Who doesn't Sarah learn she was attacking?,1.0
1249,Who wasn't Becca revealing she kisses?,Who wasn't Becca revealing who kisses?,0.0
1250,Who couldn't many students forget they weren't concealing?,Who couldn't many students forget who weren't concealing?,0.0
1251,What can Sandra figure out she can't notice?,What can Sandra figure out who can't notice?,0.0
1252,Who does Lisa realize what hasn't aggravated?,Who does Lisa realize she hasn't aggravated?,1.0
1253,Who has Linda forgotten she helps?,Who has Linda forgotten who helps?,0.0
1254,What wasn't Mitchell figuring out he arrives at?,What wasn't Mitchell figuring out who arrives at?,0.0
1255,What have these universities figured out who had disliked?,What have these universities figured out they had disliked?,1.0
1256,Who would Martin remember who isn't impressing?,Who would Martin remember he isn't impressing?,1.0
1257,Who could Vanessa remember who isn't curing?,Who could Vanessa remember she isn't curing?,1.0
1258,Who is Emily revealing who isn't worrying?,Who is Emily revealing she isn't worrying?,1.0
1259,Who hadn't Carla learned she wasn't investigating?,Who hadn't Carla learned who wasn't investigating?,0.0
1260,What is Grace investigating she goes to?,What is Grace investigating who goes to?,0.0
1261,Who don't the students realize they bores?,Who don't the students realize what bores?,0.0
1262,Who could Kimberley learn she wouldn't confuse?,Who could Kimberley learn what wouldn't confuse?,0.0
1263,Who is Rachel investigating who can listen to?,Who is Rachel investigating she can listen to?,1.0
1264,Who can't Sharon investigate she scares?,Who can't Sharon investigate who scares?,0.0
1265,What hasn't Melanie remembered who couldn't leave?,What hasn't Melanie remembered she couldn't leave?,1.0
1266,What hasn't a person figured out he is skated around?,What hasn't a person figured out who is skated around?,0.0
1267,What had Rebecca forgotten she tours?,What had Rebecca forgotten who tours?,0.0
1268,Who has some association investigated it hadn't hurt?,Who has some association investigated who hadn't hurt?,0.0
1269,Who had Alexander realized he observes?,Who had Alexander realized who observes?,0.0
1270,What can Rhonda forget who was buying?,What can Rhonda forget she was buying?,1.0
1271,Who should Vanessa know what had aggravated?,Who should Vanessa know she had aggravated?,1.0
1272,What aren't the organizations investigating they had fixed?,What aren't the organizations investigating who had fixed?,0.0
1273,Who has Sheila discovered who can bother?,Who has Sheila discovered she can bother?,1.0
1274,What can't Rose realize who is cleaning?,What can't Rose realize she is cleaning?,1.0
1275,Who was Harvard University investigating what upsets?,Who was Harvard University investigating it upsets?,1.0
1276,Who hasn't Renee figured out what had confused?,Who hasn't Renee figured out she had confused?,1.0
1277,What has Marcus known who sold?,What has Marcus known he sold?,1.0
1278,Who had the company forgotten who bored?,Who had the company forgotten it bored?,1.0
1279,What had hospitals investigated they are healing?,What had hospitals investigated who are healing?,0.0
1280,Who wouldn't every boy conceal he doesn't attack?,Who wouldn't every boy conceal who doesn't attack?,0.0
1281,What can't Jane know she arrived at?,What can't Jane know who arrived at?,0.0
1282,What doesn't Jill find out she hasn't forgotten?,What doesn't Jill find out who hasn't forgotten?,0.0
1283,Who were the Lutherans discovering what embarrasses?,Who were the Lutherans discovering they embarrasses?,1.0
1284,What aren't many legislatures discovering who explored?,What aren't many legislatures discovering they explored?,1.0
1285,Who can every girl reveal she wasn't discovering?,Who can every girl reveal who wasn't discovering?,0.0
1286,Who aren't a lot of cashiers investigating they have irritated?,Who aren't a lot of cashiers investigating what have irritated?,0.0
1287,Who wasn't Leslie investigating she hadn't hated?,Who wasn't Leslie investigating who hadn't hated?,0.0
1288,Who didn't Mary learn she has listened to?,Who didn't Mary learn who has listened to?,0.0
1289,Who has Laura realized who would argue about?,Who has Laura realized she would argue about?,1.0
1290,What hadn't Brett investigated who researches?,What hadn't Brett investigated he researches?,1.0
1291,What hasn't Jill found out she exited?,What hasn't Jill found out who exited?,0.0
1292,What hasn't Maria revealed who ran around?,What hasn't Maria revealed she ran around?,1.0
1293,Who was Melinda finding out who forgot?,Who was Melinda finding out she forgot?,1.0
1294,Who isn't Colleen discovering she hasn't researched?,Who isn't Colleen discovering who hasn't researched?,0.0
1295,What was Janet concealing she will descend?,What was Janet concealing who will descend?,0.0
1296,What had James figured out who is biking to?,What had James figured out he is biking to?,1.0
1297,What hadn't William realized he isn't breaking?,What hadn't William realized what isn't breaking?,0.0
1298,Who were the schools forgetting they could alarm?,Who were the schools forgetting who could alarm?,0.0
1299,What has Amanda investigated who fixes?,What has Amanda investigated she fixes?,1.0
1300,Cynthia scans these hard books.,Cynthia scans this hard books.,0.0
1301,Donna might hire this serious actress.,Donna might hire these serious actress.,0.0
1302,Wendy forgot those upset doctors.,Wendy forgot that upset doctors.,0.0
1303,Carlos hasn't fired those uncertain students.,Carlos hasn't fired that uncertain students.,0.0
1304,Claire will conceal that hopeful cashiers.,Claire will conceal those hopeful cashiers.,1.0
1305,Some actors buy this gray books.,Some actors buy these gray books.,1.0
1306,Jerry appreciates this lost report.,Jerry appreciates these lost report.,0.0
1307,Deanna reveals these black public parks.,Deanna reveals this black public parks.,0.0
1308,Tracy has boasted about those unsure children.,Tracy has boasted about that unsure children.,0.0
1309,This eggplant distracts this hopeful girl.,This eggplant distracts these hopeful girl.,0.0
1310,That sweater had resembled that out in the open drawing.,That sweater had resembled those out in the open drawing.,0.0
1311,Nancy astounded that young pedestrian.,Nancy astounded those young pedestrian.,0.0
1312,The documentaries can aggravate that busy actors.,The documentaries can aggravate those busy actors.,1.0
1313,Most senators aren't exiting these popular restaurant.,Most senators aren't exiting this popular restaurant.,1.0
1314,Wayne looked like those bad paintings.,Wayne looked like that bad paintings.,0.0
1315,Christina loves this popular essays.,Christina loves these popular essays.,1.0
1316,Katherine hasn't bothered those delighted waiter.,Katherine hasn't bothered that delighted waiter.,1.0
1317,A lot of pedestrians had complained about this unconvinced teenager.,A lot of pedestrians had complained about these unconvinced teenager.,0.0
1318,This eggplant hasn't resembled that out in the open print.,This eggplant hasn't resembled those out in the open print.,0.0
1319,Kathleen cleaned that yellow college campus.,Kathleen cleaned those yellow college campus.,0.0
1320,Randolf had healed these young boy.,Randolf had healed this young boy.,1.0
1321,Many governments hadn't respected these excited children.,Many governments hadn't respected this excited children.,0.0
1322,Cheryl forgot these big waitresses.,Cheryl forgot this big waitresses.,0.0
1323,Judy wasn't embarrassing this old students.,Judy wasn't embarrassing these old students.,1.0
1324,The waitresses alarm that content dancers.,The waitresses alarm those content dancers.,1.0
1325,Most people leave that purple cafes.,Most people leave those purple cafes.,1.0
1326,A ladder won't annoy these popular governments.,A ladder won't annoy this popular governments.,0.0
1327,Most adults shocks this popular drivers.,Most adults shocks these popular drivers.,1.0
1328,Some turtle resembled those small photograph.,Some turtle resembled that small photograph.,1.0
1329,A lot of sweaters resemble this yellow pictures.,A lot of sweaters resemble these yellow pictures.,1.0
1330,Peter resembled these bad photographs.,Peter resembled this bad photographs.,0.0
1331,Galileo sounds like this important essay.,Galileo sounds like these important essay.,0.0
1332,Those ladies work with these lucky actors.,Those ladies work with this lucky actors.,0.0
1333,All women reveal those exposed painting.,All women reveal that exposed painting.,1.0
1334,Sandra had stunned those young teacher.,Sandra had stunned that young teacher.,1.0
1335,That plate resembles that big sketches.,That plate resembles those big sketches.,1.0
1336,Sarah has discussed those big waitress.,Sarah has discussed that big waitress.,1.0
1337,Heather hasn't worked with these content adult.,Heather hasn't worked with this content adult.,1.0
1338,Becca hadn't hugged these fast actors.,Becca hadn't hugged this fast actors.,0.0
1339,Robert isn't lifting that dirty dress.,Robert isn't lifting those dirty dress.,0.0
1340,Linda runs around these exposed grocery stores.,Linda runs around this exposed grocery stores.,0.0
1341,Most teachers sound like that ill drivers.,Most teachers sound like those ill drivers.,1.0
1342,Wendy isn't escaping from this unemployed dancers.,Wendy isn't escaping from these unemployed dancers.,1.0
1343,Homer won't watch that exposed teacher.,Homer won't watch those exposed teacher.,0.0
1344,All drivers confuses that ill actresses.,All drivers confuses those ill actresses.,1.0
1345,Connie had disturbed those important legislature.,Connie had disturbed that important legislature.,1.0
1346,Brad won't visit these gray schools.,Brad won't visit this gray schools.,0.0
1347,Joel is finding these red plates.,Joel is finding this red plates.,0.0
1348,Winston Churchill criticized those new high school.,Winston Churchill criticized that new high school.,1.0
1349,Sherry talked about this dirty hospitals.,Sherry talked about these dirty hospitals.,1.0
1350,Many mouths look like this small drawing.,Many mouths look like these small drawing.,0.0
1351,Valerie heals that ill rabbits.,Valerie heals those ill rabbits.,1.0
1352,Those senators shock that bad guy.,Those senators shock those bad guy.,0.0
1353,Diana would heal this sick hamster.,Diana would heal these sick hamster.,0.0
1354,Larry cures these sick driver.,Larry cures this sick driver.,1.0
1355,This actor might like those determined pedestrian.,This actor might like that determined pedestrian.,1.0
1356,This student runs around this red grocery stores.,This student runs around these red grocery stores.,1.0
1357,Laura had bought this small books.,Laura had bought these small books.,1.0
1358,Those organizations aggravate those busy teenagers.,Those organizations aggravate that busy teenagers.,0.0
1359,Melinda liked these green sketches.,Melinda liked this green sketches.,0.0
1360,Most children wear that smooth shawls.,Most children wear those smooth shawls.,1.0
1361,Many drivers had hidden that good scarves.,Many drivers had hidden those good scarves.,1.0
1362,Jill finds these hidden bird.,Jill finds this hidden bird.,1.0
1363,Kathleen is cleaning this purple banks.,Kathleen is cleaning these purple banks.,1.0
1364,Some picture isn't annoying this upset waitresses.,Some picture isn't annoying these upset waitresses.,1.0
1365,Kendra messes up that bad movie theater.,Kendra messes up those bad movie theater.,0.0
1366,Larry bored these bad teenager.,Larry bored this bad teenager.,1.0
1367,This waiter hasn't scanned those long book.,This waiter hasn't scanned that long book.,1.0
1368,Amy tours those smooth college campuses.,Amy tours that smooth college campuses.,0.0
1369,Some movies sound like these lost doctor.,Some movies sound like this lost doctor.,1.0
1370,Many patients research that blue sketches.,Many patients research those blue sketches.,1.0
1371,Valerie listens to that displeased dancers.,Valerie listens to those displeased dancers.,1.0
1372,Every lady didn't disturb that busy teenagers.,Every lady didn't disturb those busy teenagers.,1.0
1373,Danielle questioned this out in the open teenager.,Danielle questioned these out in the open teenager.,0.0
1374,The drivers watch this nice dancers.,The drivers watch these nice dancers.,1.0
1375,Clyde did approach this hidden senators.,Clyde did approach these hidden senators.,1.0
1376,The movies disagree with these old children.,The movies disagree with this old children.,0.0
1377,Every teacher buys those out in the open grocery store.,Every teacher buys that out in the open grocery store.,1.0
1378,Jessica hires these nice guy.,Jessica hires this nice guy.,1.0
1379,Dana hadn't lifted this new college campus.,Dana hadn't lifted these new college campus.,0.0
1380,A lot of organizations scare these confident senators.,A lot of organizations scare this confident senators.,0.0
1381,Lucille might take those bad dishes.,Lucille might take that bad dishes.,0.0
1382,Amelia hasn't dropped by those out in the open cafes.,Amelia hasn't dropped by that out in the open cafes.,0.0
1383,Meredith won't scan those bad documentary.,Meredith won't scan that bad documentary.,1.0
1384,Katherine healed this out in the open snakes.,Katherine healed these out in the open snakes.,1.0
1385,Ronald fires this bad customer.,Ronald fires these bad customer.,0.0
1386,Danielle wouldn't bring these long pamphlets.,Danielle wouldn't bring this long pamphlets.,0.0
1387,Jennifer was hurting those uncertain driver.,Jennifer was hurting that uncertain driver.,1.0
1388,Tiffany hasn't worked with these young teenager.,Tiffany hasn't worked with this young teenager.,1.0
1389,Sabrina was scanning these hard book.,Sabrina was scanning this hard book.,1.0
1390,Eric hired that ill student.,Eric hired those ill student.,0.0
1391,Liam flees from that determined actors.,Liam flees from those determined actors.,1.0
1392,Noah notices those gray restaurant.,Noah notices that gray restaurant.,1.0
1393,Those children question that out in the open boys.,Those children question those out in the open boys.,1.0
1394,Most children conceal this smart dancer.,Most children conceal these smart dancer.,0.0
1395,Most actresses had healed this busy children.,Most actresses had healed these busy children.,1.0
1396,Gerald could examine that long essay.,Gerald could examine those long essay.,0.0
1397,Lawrence is insulting this popular documentaries.,Lawrence is insulting these popular documentaries.,1.0
1398,All boys kiss these big actresses.,All boys kiss this big actresses.,0.0
1399,Many cashiers were discussing this concealed report.,Many cashiers were discussing these concealed report.,0.0
1400,The students perform.,The student perform.,0.0
1401,The association talk about Stacey.,The associations talk about Stacey.,1.0
1402,The glove tightens.,The gloves tightens.,0.0
1403,The actresses compromise.,The actress compromise.,0.0
1404,The customer is suffering.,The customers is suffering.,0.0
1405,The cashier marry.,The cashiers marry.,1.0
1406,The hospital appreciates Claire.,The hospitals appreciates Claire.,0.0
1407,The dresses crumples.,The dress crumples.,1.0
1408,The customers haven't whispered.,The customer haven't whispered.,0.0
1409,The adult talks.,The adults talks.,0.0
1410,The university aren't working hard.,The universities aren't working hard.,1.0
1411,The adults has concealed all stories.,The adult has concealed all stories.,1.0
1412,The university appreciate all teenagers.,The universities appreciate all teenagers.,1.0
1413,The teacher weren't murmuring.,The teachers weren't murmuring.,1.0
1414,The couch has tipped over.,The couchs has tipped over.,0.0
1415,The boys conceals every cup.,The boy conceals every cup.,1.0
1416,The organization wasn't corresponding.,The organizations wasn't corresponding.,0.0
1417,The library weren't hurting Ellen.,The libraries weren't hurting Ellen.,1.0
1418,The organization know Larry.,The organizations know Larry.,1.0
1419,The pedestrian heals the dogs.,The pedestrians heals the dogs.,0.0
1420,The actress responds.,The actresses responds.,0.0
1421,The skirt is disturbing Debra.,The skirts is disturbing Debra.,0.0
1422,The cashier haven't testified.,The cashiers haven't testified.,1.0
1423,The legislature has loved a lot of stories.,The legislatures has loved a lot of stories.,0.0
1424,The chair has embarrassed most drivers.,The chairs has embarrassed most drivers.,0.0
1425,The patient haven't debated.,The patients haven't debated.,1.0
1426,The adults have talked to Angela.,The adult have talked to Angela.,0.0
1427,The pedestrian haven't ascended that mountain.,The pedestrians haven't ascended that mountain.,1.0
1428,The senator knows Elaine.,The senators knows Elaine.,0.0
1429,The child smile.,The children smile.,1.0
1430,The teenagers plays.,The teenager plays.,1.0
1431,The dish has alarmed Sara.,The dishs has alarmed Sara.,0.0
1432,The waitress cries.,The waitresses cries.,0.0
1433,The customers cheer.,The customer cheer.,0.0
1434,The government distract Suzanne.,The governments distract Suzanne.,1.0
1435,The senator watch Kristin.,The senators watch Kristin.,1.0
1436,The ladies weren't fleeing from Michael.,The lady weren't fleeing from Michael.,0.0
1437,The customers have profited.,The customer have profited.,0.0
1438,The bank has reunited.,The banks has reunited.,0.0
1439,The jacket haven't shrunk.,The jackets haven't shrunk.,1.0
1440,The universities were boasting.,The university were boasting.,0.0
1441,The adults have fled from all dancers.,The adult have fled from all dancers.,0.0
1442,The patient laugh.,The patients laugh.,1.0
1443,The nose bothers Alicia.,The noses bothers Alicia.,0.0
1444,The actor were smiling.,The actors were smiling.,1.0
1445,The senators isn't falling asleep.,The senator isn't falling asleep.,1.0
1446,The universities negotiates.,The university negotiates.,1.0
1447,The patients isn't referencing Thomas.,The patient isn't referencing Thomas.,1.0
1448,The guests aren't cooking.,The guest aren't cooking.,0.0
1449,The dancers hasn't lifted a sock.,The dancer hasn't lifted a sock.,1.0
1450,The adults has discovered this teenager.,The adult has discovered this teenager.,1.0
1451,The boys complain about some drivers.,The boy complain about some drivers.,0.0
1452,The guest are passing this glacier.,The guests are passing this glacier.,1.0
1453,The senators haven't complained about Kendra.,The senator haven't complained about Kendra.,0.0
1454,The drivers skate around college campuses.,The driver skate around college campuses.,0.0
1455,The actor sounds like the Clintons.,The actors sounds like the Clintons.,0.0
1456,The guest were approving.,The guests were approving.,1.0
1457,The child haven't whispered.,The children haven't whispered.,1.0
1458,The company aren't coping.,The companies aren't coping.,1.0
1459,The guest hasn't exited a closet.,The guests hasn't exited a closet.,0.0
1460,The committees succeeds.,The committee succeeds.,1.0
1461,The couch distract Samuel.,The couches distract Samuel.,1.0
1462,The pedestrians concurs.,The pedestrian concurs.,1.0
1463,The pedestrian litter.,The pedestrians litter.,1.0
1464,The skirts have twisted.,The skirt have twisted.,0.0
1465,The association hates Melinda.,The associations hates Melinda.,0.0
1466,The waiters disagree with Natalie.,The waiter disagree with Natalie.,0.0
1467,The guest hasn't hugged Grace.,The guests hasn't hugged Grace.,0.0
1468,The glasses bothers those senators.,The glass bothers those senators.,1.0
1469,The shoe isn't shrinking.,The shoes isn't shrinking.,0.0
1470,The birds worries Sharon.,The bird worries Sharon.,1.0
1471,The girls drinks.,The girl drinks.,1.0
1472,The pedestrians help Andrew.,The pedestrian help Andrew.,0.0
1473,The lady aren't walking through every closet.,The ladies aren't walking through every closet.,1.0
1474,The gloves fray.,The glove fray.,0.0
1475,The cashier wasn't concealing this dress.,The cashiers wasn't concealing this dress.,0.0
1476,The actor has approached Eva.,The actors has approached Eva.,0.0
1477,The guests hasn't talked about James.,The guest hasn't talked about James.,1.0
1478,The socks disturbs Clyde.,The sock disturbs Clyde.,1.0
1479,The guy have healed Russell.,The guys have healed Russell.,1.0
1480,The company have worked hard.,The companies have worked hard.,1.0
1481,The boy yawn.,The boys yawn.,1.0
1482,The dancers aren't marrying.,The dancer aren't marrying.,0.0
1483,The college campus were disturbing those drivers.,The college campuses were disturbing those drivers.,1.0
1484,The legislature hasn't fired Peter.,The legislatures hasn't fired Peter.,0.0
1485,The students climb down every ladder.,The student climb down every ladder.,0.0
1486,The boy flirt.,The boys flirt.,1.0
1487,The pedestrian observes every lady.,The pedestrians observes every lady.,0.0
1488,The guests aren't grinning.,The guest aren't grinning.,0.0
1489,The waitress have gotten fired.,The waitresses have gotten fired.,1.0
1490,The driver watch Raymond.,The drivers watch Raymond.,1.0
1491,The lady weren't conspiring.,The ladies weren't conspiring.,1.0
1492,The libraries aren't boasting.,The library aren't boasting.,0.0
1493,The girls concurs.,The girl concurs.,1.0
1494,The patient scans the report.,The patients scans the report.,0.0
1495,The teachers suffers.,The teacher suffers.,1.0
1496,The teachers move.,The teacher move.,0.0
1497,The waiter swallows.,The waiters swallows.,0.0
1498,The adults has worn some coats.,The adult has worn some coats.,1.0
1499,The student has escaped.,The students has escaped.,0.0
1500,Amanda was respected by some picture.,Amanda was respected by some waitresses.,1.0
1501,Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,0.0
1502,Lisa was kissed by the boys.,Lisa was kissed by the blouses.,0.0
1503,Amanda isn't respected by the children.,Amanda isn't respected by the cups.,0.0
1504,The glove was noticed by some mouse.,The glove was noticed by some woman.,1.0
1505,Gerald is hated by the teachers.,Gerald is hated by the pie.,0.0
1506,Most actresses weren't discussed by some ladder.,Most actresses weren't discussed by some offspring.,1.0
1507,These students were talked about by the teacher.,These students were talked about by the books.,0.0
1508,Deborah was talked to by the teacher.,Deborah was talked to by the ellipses.,0.0
1509,Cafes were cleaned by some lady.,Cafes were cleaned by some hat.,0.0
1510,Patricia is referenced by some shawl.,Patricia is referenced by some offspring.,1.0
1511,Galileo is concealed by the woman.,Galileo is concealed by the horse.,0.0
1512,A lot of high schools aren't visited by some teachers.,A lot of high schools aren't visited by some socks.,0.0
1513,Andrew was questioned by some pedestrian.,Andrew was questioned by some apple.,0.0
1514,A lot of computers aren't bought by the gate.,A lot of computers aren't bought by the senators.,1.0
1515,Those schools are cleaned by the customers.,Those schools are cleaned by the socks.,0.0
1516,Chad wasn't forgotten by the teacher.,Chad wasn't forgotten by the brochure.,0.0
1517,Deanna was hired by the candles.,Deanna was hired by the offspring.,1.0
1518,Lisa wasn't cured by the ladies.,Lisa wasn't cured by the deer.,0.0
1519,Valerie was hugged by the diagnoses.,Valerie was hugged by the pedestrian.,1.0
1520,Nina isn't escaped from by some movies.,Nina isn't escaped from by some customer.,1.0
1521,A lot of mountains were ascended by the customer.,A lot of mountains were ascended by the dog.,0.0
1522,Tamara was praised by some waitress.,Tamara was praised by some cups.,0.0
1523,William is discovered by some pie.,William is discovered by some students.,1.0
1524,Mitchell was remembered by some jacket.,Mitchell was remembered by some men.,1.0
1525,Rachel isn't investigated by the books.,Rachel isn't investigated by the dancer.,1.0
1526,Grace was returned to by some theses.,Grace was returned to by some cashiers.,1.0
1527,Michael is loved by some offspring.,Michael is loved by some bicycle.,0.0
1528,Nancy wasn't attacked by some actor.,Nancy wasn't attacked by some screens.,0.0
1529,That company wasn't questioned by the face.,That company wasn't questioned by the customer.,1.0
1530,Jill isn't returned to by the doctors.,Jill isn't returned to by the sock.,0.0
1531,Ruth was listened to by the senator.,Ruth was listened to by the phenomena.,0.0
1532,Sabrina was listened to by some adult.,Sabrina was listened to by some organization.,0.0
1533,That library was toured by the apples.,That library was toured by the dancers.,1.0
1534,Rose isn't seen by the spotlights.,Rose isn't seen by the waiters.,1.0
1535,All closets were bought by the patient.,All closets were bought by the peppers.,0.0
1536,Randolf was cared for by the drawing.,Randolf was cared for by the waiter.,1.0
1537,Janet was fired by some offspring.,Janet was fired by some scarves.,0.0
1538,Russell wasn't referenced by some girl.,Russell wasn't referenced by some hat.,0.0
1539,Carmen is talked about by the waiters.,Carmen is talked about by the essay.,0.0
1540,A story wasn't scanned by the newspaper article.,A story wasn't scanned by the doctor.,1.0
1541,Sherry wasn't criticized by some casseroles.,Sherry wasn't criticized by some customers.,1.0
1542,Joseph isn't praised by the pedestrians.,Joseph isn't praised by the hypothesis.,0.0
1543,Gregory wasn't helped by some teenager.,Gregory wasn't helped by some legislature.,0.0
1544,Every student was listened to by some rabbit.,Every student was listened to by some guys.,1.0
1545,Mitchell isn't hated by some brochures.,Mitchell isn't hated by some man.,1.0
1546,Those stairs aren't climbed down by the dress.,Those stairs aren't climbed down by the cashiers.,1.0
1547,Some mushrooms were brought by the actors.,Some mushrooms were brought by the carts.,0.0
1548,Most children aren't listened to by some girls.,Most children aren't listened to by some fungus.,0.0
1549,Teresa is attacked by some cacti.,Teresa is attacked by some child.,1.0
1550,A hospital is exited by some coats.,A hospital is exited by some adults.,1.0
1551,These actresses were referenced by some lady.,These actresses were referenced by some box.,0.0
1552,Stacey wasn't fired by some geese.,Stacey wasn't fired by some guest.,1.0
1553,A mall is explored by the people.,A mall is explored by the beef.,0.0
1554,The women were kissed by some glasses.,The women were kissed by some teenagers.,1.0
1555,The commentaries weren't examined by some lady.,The commentaries weren't examined by some bike.,0.0
1556,Homer isn't described by the boys.,Homer isn't described by the snake.,0.0
1557,Spain is toured by the actress.,Spain is toured by the turtle.,0.0
1558,Some hills aren't climbed down by some government.,Some hills aren't climbed down by some drivers.,1.0
1559,Aaron isn't referenced by the picture.,Aaron isn't referenced by the teacher.,1.0
1560,Carolyn is referenced by some book.,Carolyn is referenced by some adults.,1.0
1561,Donna wasn't disliked by the patients.,Donna wasn't disliked by the apple.,0.0
1562,The commentaries weren't scanned by the snake.,The commentaries weren't scanned by the patient.,1.0
1563,Many grocery stores are passed by the trucks.,Many grocery stores are passed by the children.,1.0
1564,Some book isn't scanned by some dancer.,Some book isn't scanned by some reports.,0.0
1565,Julia was talked to by the sheep.,Julia was talked to by the lady.,1.0
1566,A lot of malls are exited by some screens.,A lot of malls are exited by some children.,1.0
1567,Mitchell was discussed by some pork.,Mitchell was discussed by some boy.,1.0
1568,Kevin was loved by the broccoli.,Kevin was loved by the teenagers.,1.0
1569,The cafes aren't appreciated by some driver.,The cafes aren't appreciated by some ellipsis.,0.0
